id,label
A. Ali Ural,A. Ali Ural
Şule,Şule
A. Mümtaz İdil,A. Mümtaz İdil
Öteki,Öteki
Tez,Tez
Etkin,Etkin
A. Turan Oflazoğlu,A. Turan Oflazoğlu
Varlık,Varlık
İstanbul Üniversitesi Edebiyat Fakültesi,İstanbul Üniversitesi Edebiyat Fakültesi
Milli Eğitim Bakanlığı,Milli Eğitim Bakanlığı
Dönem,Dönem
Bilgi,Bilgi
Cem,Cem
Kültür ve Turizm Bakanlığı,Kültür ve Turizm Bakanlığı
Adam,Adam
İz,İz
Abbas Zamanov,Abbas Zamanov
Uşaqgencneşr,Uşaqgencneşr
Genclik Neşriyyatı,Genclik Neşriyyatı
Abdullah Cevdet,Abdullah Cevdet
Matbaa-i Osmaniye,Matbaa-i Osmaniye
Matbaa-i Vilayet,Matbaa-i Vilayet
Osmaniye,Osmaniye
A. Costagliola,A. Costagliola
Matbaa-i İçtihad,Matbaa-i İçtihad
Matbaa-i İçtihad - Kahire,Matbaa-i İçtihad - Kahire
Resimli Kitap,Resimli Kitap
Matbaa-i Hayriye,Matbaa-i Hayriye
Kanaat,Kanaat
Matbaa-i Orhaniye,Matbaa-i Orhaniye
Necm-i İstikbal,Necm-i İstikbal
Necmi-i İstikbal,Necmi-i İstikbal
Matbaa-i Amedi,Matbaa-i Amedi
Matbaa-i Amire,Matbaa-i Amire
Kitapçı Arakel Tozliyan İdare-i Şirket-i Mürettebiye Matbaası,Kitapçı Arakel Tozliyan İdare-i Şirket-i Mürettebiye Matbaası
Devlet,Devlet
Abdullah Rıza Ergüven,Abdullah Rıza Ergüven
Kardeşler Basımevi,Kardeşler Basımevi
Berfin,Berfin
Abdullah Zühtü,Abdullah Zühtü
Asır Kütüphanesi,Asır Kütüphanesi
Mihran,Mihran
İkdam,İkdam
Saadet,Saadet
Matbaa-i Karabet,Matbaa-i Karabet
Abdülaziz Halis Çıkıntaş,Abdülaziz Halis Çıkıntaş
Abdülgani Seniy Yurtman,Abdülgani Seniy Yurtman
Vilayet,Vilayet
İnsel,İnsel
Abdülkadir Meriçboyu,Abdülkadir Meriçboyu
Türkiye İş Bankası,Türkiye İş Bankası
İstanbul Matbaası,İstanbul Matbaası
Akşam Kitap Kulübü,Akşam Kitap Kulübü
Sander,Sander
Gün,Gün
Abdülkadir Noyan,Abdülkadir Noyan
Abidin Daver,Abidin Daver
Abusupiyan Akayev,Abusupiyan Akayev
M. Mavrayev,M. Mavrayev
Adnan Tahir Tan,Adnan Tahir Tan
Akba,Akba
Arif Bolat Kitapevi,Arif Bolat Kitapevi
Semih Lütfi Kitabevi,Semih Lütfi Kitabevi
Yeni Mecmua,Yeni Mecmua
Türkiye,Türkiye
Ekicigil,Ekicigil
Hürriyet Gazetesi,Hürriyet Gazetesi
Çınar,Çınar
Minnetoğlu,Minnetoğlu
Altın Kitaplar,Altın Kitaplar
Anten,Anten
K,K
Örgün,Örgün
Adnan Özer,Adnan Özer
De,De
Yılmaz,Yılmaz
Yön,Yön
Kavram,Kavram
Papirüs,Papirüs
Gendaş,Gendaş
Kekeme,Kekeme
Kırmızı,Kırmızı
Edisam,Edisam
Özgür,Özgür
Can,Can
Vapur,Vapur
Adnan Özyalçıner,Adnan Özyalçıner
Afet Ilgaz,Afet Ilgaz
Sanat,Sanat
Afif Yesari,Afif Yesari
İtimat Kitabevi,İtimat Kitabevi
Ahmet Cemal,Ahmet Cemal
Afa,Afa
Ahmet Cevat Emre,Ahmet Cevat Emre
Türk Dil Kurumu,Türk Dil Kurumu
Ahmet Emin YALMAN,Ahmet Emin YALMAN
Muallim Ahmet Halit Yaşaroğlu Kitaphanesi,Muallim Ahmet Halit Yaşaroğlu Kitaphanesi
Vatan,Vatan
Nebioğlu,Nebioğlu
Ahmet Hamdi Tanpınar,Ahmet Hamdi Tanpınar
Dergah,Dergah
Ahmet Hikmet Müftüoğlu,Ahmet Hikmet Müftüoğlu
Ahter,Ahter
Cemal Efendi,Cemal Efendi
Ahmet Kabaklı,Ahmet Kabaklı
Ahmet Kot,Ahmet Kot
Yeryüzü,Yeryüzü
Beyan,Beyan
Ahmet Metin Şahin,Ahmet Metin Şahin
Irmak,Irmak
Ahmet Mithat Efendi,Ahmet Mithat Efendi
Kırkambar,Kırkambar
Tercüman-ı Hakikat,Tercüman-ı Hakikat
Bahriye,Bahriye
Ahmet Necdet Sözer,Ahmet Necdet Sözer
Everest,Everest
Dünya,Dünya
Ayrıntı,Ayrıntı
Ahmet Rasim,Ahmet Rasim
Matbaa-i K. Bağdadliyan,Matbaa-i K. Bağdadliyan
Vatan Kitaphanesi,Vatan Kitaphanesi
Kitabhane-i Ebuzziya,Kitabhane-i Ebuzziya
Mahmud Bey,Mahmud Bey
Tefeyyüz,Tefeyyüz
Malumat Gazeteleri,Malumat Gazeteleri
Artin Asadoryan Şirket-i Mürettibiye,Artin Asadoryan Şirket-i Mürettibiye
Malumat Kütübhanesi,Malumat Kütübhanesi
Kitaphane-i İslam ve Askeri,Kitaphane-i İslam ve Askeri
Ahmet Refik (Altınay),Ahmet Refik (Altınay)
Ahmet Remzi Akyürek,Ahmet Remzi Akyürek
Evkaf-ı İslamiyye,Evkaf-ı İslamiyye
Kayseri Eski Eserleri,Kayseri Eski Eserleri
Müzeleri Sevenler Derneği,Müzeleri Sevenler Derneği
Tasavvuf Dergisi,Tasavvuf Dergisi
Ahmet Soysal,Ahmet Soysal
Nisan,Nisan
Metis,Metis
İmge,İmge
Ahmet Vefik Paşa,Ahmet Vefik Paşa
Tasvir-i Efkar,Tasvir-i Efkar
Bab-ı Ali Karşısında 57 numaralı matbaa,Bab-ı Ali Karşısında 57 numaralı matbaa
Civelekyan,Civelekyan
Cihan,Cihan
Kanaat Kütüphanesi,Kanaat Kütüphanesi
Ahmet Yorulmaz,Ahmet Yorulmaz
Yalçın,Yalçın
Boyut,Boyut
Belge,Belge
Ahmet İhsan Gevrek,Ahmet İhsan Gevrek
Yargıçoğlu,Yargıçoğlu
Yağmur,Yağmur
Ali (Direktör),Ali (Direktör)
Ali Cengizkan,Ali Cengizkan
Kuzey,Kuzey
Verso,Verso
Şevki Vanlı Mimarlık Vakfı,Şevki Vanlı Mimarlık Vakfı
Ali Ece,Ali Ece
Profil,Profil
Ali Ferruh (İBNÜRREŞAT),Ali Ferruh (İBNÜRREŞAT)
