entry_name,country,lat,lng
"Akçaabat,  Trabzon",Turkey,41.02121,39.57146
Sana,Yemen,15.35472,44.20667
Kırşehir,Turkey,39.14583,34.16389
Çorum,Turkey,40.54889,34.95333
Manisa,Turkey,38.61202,27.42647
"Kölkamıs, Kazakistan",Kazakhstan,49.84577,64.29246
"Girit, Yunanistan",Greece,35.21463,25.00643
"Gördes, Manisa",Turkey,38.93278,28.28942
"Şeker, Talas, Kırgızistan",Kyrgyzstan,42.54792,71.15776
"Minneapolis, Minnesota, ABD",United States,44.97997,-93.26384
Samsun,Turkey,41.27976,36.3361
"Tüp, Issık Göl, Kırgızistan",Kyrgyzstan,42.7276,78.36476
"Razgrad, Bulgaristan",Bulgaria,43.53333,26.51667
"Varşova, Polonya",Poland,52.22977,21.01178
Balıkesir,Turkey,39.64917,27.88611
"Manastır, Kuzey Makedonya",North Macedonia,41.03143,21.33474
İstanbul,Turkey,41.01384,28.94966
"Bloomington, Indiana",United States,39.16533,-86.52639
"Berlin, Almanya",Germany,52.52437,13.41053
Adana,Turkey,36.98615,35.32531
Ağrı,Turkey,39.71467,43.04015
"Sofya, Bulgaristan",Bulgaria,42.69751,23.32415
Muğla,Turkey,37.21807,28.3665
Tunceli,Turkey,39.10611281863605,39.54833534411548
Kocaeli,Turkey,40.80276,29.43068
"Nevrakop, Bulgaristan",Bulgaria,41.57359423236196,23.728937450053905
"Paris, Fransa",France,48.85341,2.3488
"Harput, Elazığ",Turkey,38.70500409159133,39.250378040283636
"Cenevre, İsviçre",Switzerland,46.20222,6.14569
Çanakkale,Turkey,40.15552,26.41271
"Kazah, Azerbaycan",Azerbaijan,41.09246,45.36561
"Kuşadası, Aydın",Turkey,37.86014,27.25713
"Bakü, Azerbaycan",Azerbaijan,40.37767,49.89201
"Kızılyar, Kazakistan",Kazakhstan,54.86667,69.15
Tokat,Turkey,40.31389,36.55444
Hatay,Turkey,36.20655,36.15722
"Pittsburgh, Pennsylvania, ABD",United States,40.44062,-79.99589
Yozgat,Turkey,39.82,34.80444
Denizli,Turkey,37.77417,29.0875
Gaziantep,Turkey,37.05944,37.3825
"Eceabat, Çanakkale",Turkey,40.18416,26.3574
Burdur,Turkey,37.72028,30.29083
"Beşiktaş ,  İstanbul",Turkey,41.04541,29.00991
"Selanik, Yunanistan",Greece,40.64361,22.93086
Kahramanmaraş,Turkey,37.5847,36.92641
"Leros, Yunanistan",Greece,37.1543,26.85162
Diyarbakır,Turkey,37.91363,40.21721
"Münih, Almanya",Germany,48.13743,11.57549
"Köke, Denizli",Turkey,37.34744,29.38335
"Bağdat, Irak",Iraq,33.34058,44.40088
Bursa,Turkey,40.19559,29.06013
"Asir Bölgesi, Suudi Arabistan",Saudi Arabia,18.3,42.73333
"Yeşilova, Tufanbeyli, Adana",Turkey,38.153624000532474,36.2569959505438
Nevşehir,Turkey,38.625,34.71222
Uşak,Turkey,38.67351,29.4058
Kayseri,Turkey,38.73222,35.48528
"Aksaray, Türkiye",Turkey,38.37255,34.02537
"Hırdalan, Azerbaycan",Azerbaijan,40.44808,49.75502
"Fraşer, Arnavutluk",Albania,40.36609345376363,20.426483362593647
Köldük,Kyrgyzstan,39.99177734580763,73.49206564183346
"Kerkük, Irak",Iraq,35.46806,44.39222
Kırklareli,Turkey,41.73486361337177,27.22474539623489
"Ahmedi, Kuveyt",Kuwait,29.07694,48.08389
"Adiller, Karaman",Turkey,36.68733,32.62041
"Trablusgarp, Libya",Libya,32.88743,13.18733
"Maden, Elazığ",Turkey,38.38669,39.66408
"Şam, Suriye",Syria,33.51574957925029,36.27396432485935
"Mekke, Suudi Arabistan",Saudi Arabia,21.42664,39.82563
"Londra, İngiltere",United Kingdom,51.50853,-0.12574
Erzurum,Turkey,39.90861,41.27694
"Lazkiye,  Suriye",Syria,35.53168,35.79011
Trabzon,Turkey,41.005,39.72694
Eskişehir,Turkey,39.77667,30.52056
Saraybosna,Bosnia and Herz.,43.84864,18.35644
"Sâlyan, Azerbaycan",Azerbaijan,39.59621,48.98479
"Taşoz, Yunanistan",Greece,40.77806,24.70944
"İnebolu, Kastamonu",Turkey,41.97893,33.76012
"Cambridge, Massachusetts, ABD",United States,42.374974285540794,-71.11799168511804
Afyon,Turkey,38.75667,30.54333
Isparta,Turkey,37.76444,30.55222
"Tahran, İran",Iran,35.69439,51.42151
"Washington, Kolumbiya Bölgesi, ABD",United States,38.89511,-77.03637
Konya,Turkey,37.87135,32.48464
Nahçıvan,Azerbaijan,39.20889,45.41222
"Midilli, Yunanistan",Greece,39.10772,26.55529
Ankara,Turkey,39.91987,32.85427
"Gorod Kazan, Rusya",Russia,55.78874,49.12214
Bayburt,Turkey,40.25631,40.22289
Aydın,Turkey,37.84501,27.83963
"Lefkoşa, Kıbrıs",Cyprus,35.17531,33.3642
Edirne,Turkey,41.67719,26.55597
"Stockholm, İsveç",Sweden,59.32938,18.06871
"Vaniköy, İstanbul",Turkey,41.06343,29.05862
"Almatı, Kazakistan",Kazakhstan,43.25,76.91667
Amasya,Turkey,40.65333,35.83306
Sivas,Turkey,39.74833,37.01611
"Yenişehir Feneri, Yunanistan",Greece,39.63689,22.41761
Zonguldak,Turkey,41.45139,31.79305
Ordu,Turkey,40.97782,37.89047
"Leiden, Hollanda",Netherlands,52.15833,4.49306
Sinop,Turkey,42.02614226619545,35.1429305063931
İzmir,Turkey,38.41273,27.13838
Giresun,Turkey,40.91698,38.38741
Artvin,Turkey,41.18161,41.82172
"İskenderiye, Mısır",Egypt,31.20176,29.91582
"Esrik, Kelbecer, Azerbaycan",Azerbaijan,40.10984,46.04446
"Florina, Yunanistan",Greece,40.78197,21.40981
Şanlıurfa,Turkey,37.16708,38.79392
"Eğridere, Bulgaristan",Bulgaria,41.58352318553562,25.13405255730944
"Balıkçı, Kırgızistan",Kyrgyzstan,42.46017,76.18709
"Kozana, Selanik, Yunanistan",Greece,40.30069,21.78896
Kars,Turkey,40.59825,43.08548
