Pub,Pub_loc,Pub_loc_lat,Pub_loc_lng,Trans_Worked,Total_Trans,Total_Trans_Ttl
21. Yüzyıl,Ankara,39.91987,32.85427,Mustafa Everdi,1,1
A,İstanbul,41.01384,28.94966,Refi Cevat Ulunay,1,1
A Selection,İstanbul,41.01384,28.94966,Mevlüt Ceylan,1,1
A. Costagliola,"Kahire, Mısır",30.06263,31.24967,Abdullah Cevdet,1,1
A. Maviyan Şirket-i Mürettibiye,İstanbul,41.01384,28.94966,Fazlı Necip,1,1
ABC,İstanbul,41.01384,28.94966,"Halit Fahri Ozansoy, Burhan Arpad, Salah Birsel",3,3
Abajoli,İstanbul,41.01384,28.94966,Hüseyin Rıfat (Işıl),1,1
Acaoğlu,İstanbul,41.01384,28.94966,Attila İlhan,1,1
Ad,İstanbul,41.01384,28.94966,İrfan Yalçın,1,1
Ada,İstanbul,41.01384,28.94966,"Ferit Edgü, Tomris Uyar, Turgay Gönenç, Orhan Duru, Pınar Kür, Onat Kutlar",6,6
Adam,İstanbul,41.01384,28.94966,"Oktay Rifat, Mina Urgan, A. Turan Oflazoğlu, İlhan Berk, İsmet Zeki Eyüboğlu, Cevat Çapan, Tomris Uyar, Cemal Süreya Seber, Ataol Behramoğlu, İnci Asena, Azer Yaran, Ahmet Yorulmaz, Adnan Özer, Necmi Zeka, Şavkar Altınel, Roni Margulies, Suphi Aytimur, Kenan Sarıalioğlu, Ahmet Necdet Sözer",19,41
Afa,İstanbul,41.01384,28.94966,"Tomris Uyar, Münir Göle, Ahmet Cemal, Şükran Yücel",4,5
Afyon Gazetesi,İstanbul,41.01384,28.94966,Şemsettin Ünlü,1,1
Aganta Kitap,İstanbul,41.01384,28.94966,Tülin Er,1,1
Ahmed Kemal,İstanbul,41.01384,28.94966,Süleyman Tevfik Özzorluoğlu,1,1
Ahmet Hamdi,Trabzon,41.005,39.72694,Mustafa Yazıcı,1,1
Ahmet Sait,İstanbul,41.01384,28.94966,"Halit Fahri Ozansoy, Sadri Ertem, Ali Nihad Tarlan",3,3
Ahmet Sait Kütüphanesi,İstanbul,41.01384,28.94966,Salih Zeki Aktay,1,1
Ahter,İstanbul,41.01384,28.94966,"Mahmut Sadık, Ahmet Hikmet Müftüoğlu",2,2
Ak,İstanbul,41.01384,28.94966,Şerif Kurbanoğlu,1,1
Akademi,İzmir,38.41273,27.13838,Ayşe İlker,1,1
Akba,Ankara,39.91987,32.85427,"Nurullah Ataç, Refi Cevat Ulunay, Faik Dranaz, Adnan Tahir Tan",4,4
Akka,İstanbul,41.01384,28.94966,Burhan Arpad,1,1
Akra Kitabevi,İstanbul,41.01384,28.94966,Nurettin Artam,1,1
Akyüz,İstanbul,41.01384,28.94966,Füruzan Toprak,1,1
Akçağ,Ankara,39.91987,32.85427,"Mustafa Miyasoğlu, Hüseyin Alacatlı",2,6
Akşam,İstanbul,41.01384,28.94966,Selami İzzet Sedes,1,1
Akşam Kitap Kulübü,İstanbul,41.01384,28.94966,Abdülkadir Meriçboyu,1,1
Akşam Kütüphanesi,İstanbul,41.01384,28.94966,"Halit Fahri Ozansoy, Selami İzzet Sedes",2,4
Alaeddin Kıral,Ankara,39.91987,32.85427,"Besim Atalay, Niyazi Berkes",2,2
Alakarga Sanat,İstanbul,41.01384,28.94966,Münir Göle,1,1
Alaz,İstanbul,41.01384,28.94966,"Erdoğan Alkan, Gürkal Aylan",2,8
Alfa,İstanbul,41.01384,28.94966,Osman Akınhay,1,1
Ali Alkan,İzmir,38.41273,27.13838,Halil Bedii Fırat,1,1
Ali Şükrü,İstanbul,41.01384,28.94966,"Ali Rıza Seyfi, Mehmet Akif Ersoy",2,2
Alkım,İstanbul,41.01384,28.94966,"Özdemir Nutku, Murat Batmankaya",2,2
Altıkırkbeş,İstanbul,41.01384,28.94966,"Oruç Aruoba, Fahri Öz, Alper Çeker, Ece Gamze Atıcı",4,9
