Trans,URL,Total_Ttl,Jbs_Fld,Trans_ID,Copyright,Pub_Worked,Total_Pub,Trans_loc,Trans_loc_lat,Trans_loc_lng,Trans_BD,Trans_DD,Age,Bio
A. Ali Ural,https://teis.yesevi.edu.tr/madde-detay/ural-ali,1,Yayıncılık,Yazar -  Şair -  Editör,True,Şule,1,Samsun,41.27976,36.3361,1959,,65,"Samsun’un Ladik ilçesinde Mehmet Kemal Ural ve Ülker Hanım’ın çocukları olarak 9 Mart 1959’da dünyaya geldi. Posoflu halk şairi Aşık Zülali (1873-1956) büyük dedesidir. Baba tarafından dedesi, yani babasının babası Rizeli hakim, babaannesi ise Erzincanlı muallime ve ev hanımıdır. Babası Kemal Ural, 1927 Erzincan doğumludur. 1950 yılında Ankara Üniversitesi Ziraat Fakültesi’nden ziraat yüksek mühendisi olarak mezun oldu. 1962’deŞule Dergisi’ni kurdu. Anadolu’nun çeşitli şehirlerinde görev yaptıktan sonra DSİ’den emekli oldu. 30 Nisan 2016’da vefat etti. Kemal Ural’ın Şule Yayınları’ndan çıkan pek çok eseri mevcuttur. Annesi Ülker Hanım ise yazdığı şiirlerle de bilinen Bolvadinli Şahide Yüksel Hanım’ın kızıdır."
A. Mümtaz İdil,https://teis.yesevi.edu.tr/madde-detay/idil-mumtaz,7,Medya -  Yayıncılık,Yazar -  Eleştirmen -  Çevirmen -  Gazeteci,True,"Öteki, Tez, Etkin",3,Adana,36.98615,35.32531,1952,2017,65,"Adana'nın Pozantı ilçesinde doğdu. İstanbul'daki Kağıthane İlkokulunda başlayan ilkokul öğrenimini Zonguldak'taki Karaelmas İlkokulunda tamamladı. Ortaokulu Zonguldak Merkez Ortaokulunda, liseyi ise aynı şehirdeki Mehmet Çelikel Lisesinde okudu (İdil 2017: 18). Ankara Üniversitesi DTCF Rus Dili ve Edebiyatı Bölümünden 1974'te mezun oldu. Aynı üniversitede Siyasal Bilgiler Fakültesindeki derslere misafir öğrenci olarak katıldı. Hacettepe Üniversitesi Felsefe Bölümünde Iona Kuçuradi ve Oruç Arıoba'dan ders aldı. Ayrıca Ankara Üniversitesi Eğitim Fakültesi Güzel Sanatlar Eğitimi Bölümünde iki yıl yüksek lisans eğitimi gördü. Özel bir şirkette Ruslara tercümanlık yaparak çalışma hayatına adım attı. Akabinde baba mesleği olarak gördüğü TCDD'deki devlet memurluğuna başlayan İdil, 8 yıl sonra memurluktan istifa ederek ANKA Ajansı'nda gazeteciliğe başladı. Daha sonra iseSabahgazetesinin çıkardığıAktüeldergisinde Ankara istihbarat şefliği yaptı (Akyol 2015: 78). 1992 yılında T.C. Kültür Bakanlığı Telif Hakları ve Sinema Genel Müdürlüğünde genel müdür yardımcılığı ve genel müdürlük görevlerinde bulundu. Bir süre bakan müşavirliği yaptıktan sonra Kütüphanler Genel Müdürlüğüne şef olarak atandı. Buradaki görevinden istifa edipSiyah Beyazgazetesinde yazı işleri müdürü,Günaydıngazetesinde ise istihbarat şefi olarak çalıştı. Aynı zamandaGünaydınveAkşamgazetelerinde köşe yazarlığı yaptı. 1998 yılında basın müşaviri olarak yeniden Kültür Bakanlığında görev aldı. Aynı yıl içinde İl Kültür Müdürü olarak Çorum'a sürgüne gönderildi. Çorum'da dört buçuk yıl geçiren İdil, 2004'te Kültür Bakanlığından emekli oldu (İdil 2017: 91,128). 2007'den itibaren Odatv Ankara temsilciliği ve yazarlığı, Dağarcık Ankara temsilciliği, Gaziantep Haberler Ankara temsilciliği ve Halkın Dostları sitesinin genel yayın yönetmenliği görevlerini sürdürdü (Akyol 2015: 78). YazılarıDönemeç,Türkiye Yazıları,Türk Dili,Hürriyet Gösteri,Yarın,Bilim ve Sanat,Sanat Olayı,Varlık, dergilerinde yayımlandı (Altınkaynak 2017: 394; İdil 2017: 4). Kitap olarak yayımlanan ilk eseri olanGerçeklik ve Romanadlı çalışmasıyla 1984 Akademi Kitabevi Araştırma - İnceleme Birincilik Ödülünü kazandı. Etkin Yayınevinden çıkan birçok biyografik romanın editörlüğünü de yapan İdil,Bütün Dünyadergisinin sürekli yazarları arasında yer aldı. 2017'de, otobiyografi niteliğindekiKabuslarkitabını yazdıktan dört ay sonra vefat etti."
A. Turan Oflazoğlu,https://teis.yesevi.edu.tr/madde-detay/oflazoglu-turan,16,Performans Sanatları -  Medya -  Yayıncılık,Yazar -  Çevirmen -  Dramaturg -  Prodüktör,True,"Varlık, İstanbul Üniversitesi Edebiyat Fakültesi, Milli Eğitim Bakanlığı, Dönem, Bilgi, Cem, Kültür ve Turizm Bakanlığı, Adam, İz",9,Adana,36.98615,35.32531,1932,,92,"Tam adı Ahmet Turan Oflazoğlu'dur. Adana'nın Karataş ilçesinde, İsahacılı köyünde doğar. Aslen Kayserili olan, İmam Ahmet Fevzi Bey'in oğludur. Annesi, ev hanımı olan Hanife Hanım'dır. Babasından aldığı dini literatür ve annesinin kendisine anlattığı masal ve hikayelerden edindiği birikim, tiyatrolarında görülecektir. 1932 yılında doğan yazar, dokuz yaşına kadar babasının görev yaptığı Ceyhan ilçesinin Mangıt köyünde kaldı. Bu tarihte babasının ölmesinin ardından, annesiyle birlikte önce Ceyhan'a, ardından da Kayseri'nin ilçesi olan Bünyan'a yerleşti. İlkokulu, Bünyan İlkokulu’nda okudu. Öğretmeni Yusuf Batur, yazarın gölge oyununa ilgi duymasını sağladı. Kendi kuklalarıyla Karagöz oynatmaya başlayan yazar, eğitimine bir yıl ara verdikten sonra, ağabeyinin yanına gittiği İstanbul'da Gedikpaşa Ortaokulu'nda okudu. Liseyi, yine İstanbul’da Vefa Lisesi’nde okuyan yazar, İstanbul Üniversitesi, Hukuk Fakültesi'nde başladığı eğitimini yarıda bıraktı ve aynı üniversitenin Edebiyat Fakültesi’nde çift ana dal hakkını kullanarak Felsefe ve İngiliz Dili ve Edebiyatı bölümlerini 1960 yılında tamamladı (Seyhan, 2006). Dönem genelkurmay başkanının özel çevirmeni olarak yaptığı askerlik görevinden sonra 1963 yılında Fulbright bursu ile Amerika Washington Üniversitesi’nde gitti ve bir yıl süreyle tiyatro eğitimi aldı. Hocası Redford, onun tiyatro yazarlığında ustalaşmasını sağlar. 1964 yılında Türkiye’ye dönen yazar, eserler vermeye devam etti. 1968'den emekli olacağı 1997'ye kadar TRT İstanbul Radyosu’nda dramaturg ve prodüktör olarak görev yaptı (TBEA 2001)."
Abbas Zamanov,https://teis.yesevi.edu.tr/madde-detay/zamanov-abbas,2,Medya -  Yayıncılık,Yazar -  Gazeteci -  Eleştirmen -  Edebiyatçı -  Tercüman -   Filoloji İLimleri Profesörü,True,"Uşaqgencneşr, Genclik Neşriyyatı",2,Nahçıvan,39.20889,45.41222,1911,1993,82,"Nahçıvan'ın Mahta köyünde doğdu. 1939’da Bakü Pedagoji Enstitüsü Edebiyat Bölümünü bitirdi.Yeni Kənd(1929),Gənc İşçi(1933-1935),Ədəbiyyat Qəzeti’ (1937-1939),Gənc Bolşevik(1938) veDöyüşən Krım(1940-1941) gazetelerinde çeşitli görevler yaptı. Komünist Parti Teşkilatlarında denetleyici, şube müdürü ve katip (1928-1960);Heşterhanbazar’daki Üçtepe köyünde öğretmen (1930-1931); Halk Eğitim Komisyonundaki metot kabinesinde yöntem uzmanı (1937-1938);Olgunlaştırma ve Gıyabi Pedagoji Eğitimi İhtisas Enstitüsü yayınevinde veAzərnəşr’de bedii edebiyat bölümünde müdür (1939-1940); Azerbaycan Devlet Filarmoni Orkestrasında (1940-1941) ve M. F. Ahundov Opera ve Balesinde (1940) yönetmen;Azerbaycan Redaksiyonunda tercüman (1941-1942); Azerbaycan İlmi Araştırmalar Nizami Dil ve Edebiyat Enstitüsünde asistan (1960-1968); Nizami Edebiyat Müzesinde (1968-1971) ve Azerbaycan Diller Üniversitesi Edebiyat Kürsüsünde (1971-1979) müdür;Azerbaycan Diller Üniversitesinin Azerbaycan Edebiyatı Bölümünde profesör (1979-1993);Azerbaycan Yazarlar Birliği üyesi (1982);Azerbaycan Milli İlimler Akademisi muhabir üyesi (1983) olarak çalıştı."
Abdullah Cevdet,https://teis.yesevi.edu.tr/madde-detay/abdullah-cevdet,30,Medya -  Sağlık -  Eğitim Ve Bilim -  Yayıncılık,Fikir Adamı -  Gazeteci -  Şair -  Doktor,False,"Matbaa-i Osmaniye, Matbaa-i Vilayet, Osmaniye, A. Costagliola, Matbaa-i İçtihad, Matbaa-i İçtihad - Kahire, Resimli Kitap, Matbaa-i Hayriye, Kanaat, Matbaa-i Orhaniye, Necm-i İstikbal, Necmi-i İstikbal, Matbaa-i Amedi, Matbaa-i Amire, Milli Eğitim Bakanlığı, Kitapçı Arakel Tozliyan İdare-i Şirket-i Mürettebiye Matbaası, Devlet",17,Malatya,38.35018,38.31667,1869,1932,63,"Malatya / Arapkir'de doğdu. Ömeroğulları sülalesine mensup olan yazarın babası, Diyarbakır birinci tabur katiplerinden Hocazade Ömer Vasfi Efendi'dir. Babasının ve imam olan amcasının tesirinde aldığı dini eğitiminin ardından ilk öğrenimini Hozat ve Arapkir'de tamamladı. Ailesiyle birlikte Elazığ'a taşınmalarının ardından başladığı Ma‘mûretülaziz (Elazığ) Askeri Rüştiyesi'nden 1301'de mezun olduktan sonra Kuleli Askeri Tıbbiye İdadisi'ne, sonra da Mekteb-i Tıbbiye-yi Askeriye'ye kaydoldu. Burada, etkili olan materyalist görüşlerden etkilenir. Dinin, bilim önünde bir engel olduğu görüşünü kendisi için temel ilke edindikten sonra, hayatında büyük bir değişime girer. Félix Isnard’ınSpiritualisme et Matérialismeadlı eseri başta olmak üzere Gustave Le Bon, Cabanis, Karl Vogt, Moleschot, Ernest Haeckel, Spencer gibi isimlerin tesiri altında kalarak, biyolojik materyalizme dair pek çoğu tanıtıcı ve eğitici makaleler kaleme alır, tercümeler yayımlar. 1889'da arkadaşları İbrahim Temo, İshak Sükûti, Mehmed Reşid ve Hikmet Emin Beyle birlikte, İttihat ve Terakki Cemiyeti'nin ilk devresi olan İttihad-ı Osmani Cemiyeti'ni kurar. Cemiyet faaliyetleri ve materyalizmle ilgili çalışmalarını hızla devam ettiriken, bir müddet okul tarafından cezalandırılır. 1890'da biyolojik materyalizmin ilkelerini basit biçimde açıklayan Ludwig Büchner’e aitKraft und Stoffadlı kitabın bir kısmınıFizyolociya-i Tefekküradıyla Türkçeye çevirir. 1894'te Tıbbiye'den mezun olur ve tabip yüzbaşı olarak göreve başlar. Aynı yıl, siyasi olaylara karıştığı gerekçesiyle tutuklanırsa da kısa sürede serbest bırakılır. Göz hastalıkları alanındaki ihtisasını tamamlaması için Haydarpaşa Hastahanesi'nde göz doktorluğu yardımcılığına atanır. 1894 yılının sonunda, kolerayla mücadele için, geçici bir görevle Diyarbakır'a gönderilir. İdealleri doğrultusunda burada siyasi mücadeleler vermeye devam eden Abdullah Cevdet, yine Büchner'e aitNatur und Geistisimli eseri deGoriladıyla Türkçeye çevirir. Sultan II. Abdülhamid’in dini vecibelerini yerine getirmediği için halife sayılamayacağı konusundaki fikirlerini ve aynı zamanda din adamlarının bu konuda verilen fetvalarını içerenFetava-yı ŞerifeveMahkeme-i Kübrarisaleleri Cenevre ve Paris'te yayımlanır. 1896 yılında Schiller’inGuillaume Tell'ini tercüme eder.Bu çeviri için kaleme aldığı önsöz, kendisine cemiyet içerisinde büyük ün getirir. Daha sonra bu önsöz,İki Emeladıyla kitaplaştırılır. Abdullah Cevdet, İstanbul'a dönüşünün ardından başgösteren Ermeni olaylarındaki tutumuyla dikkatleri bir kez daha üzerine çeker ve 1896 yılında Adapazarı Redif Taburluğu görevine atanırsa da görev yerine gidemeden hakkında tutuklama ve sürgün kararı çıkarılarak Trablusgarp'a sürgün edilir. Bir müddet kalebent olarak yaşadıktan sonra sur dışına çıkmasına izin verilince İttihat ve Terakki Şubesi'nin üyeleri arasına girer ve siyasi çalışmalarına devam eder. Örgütün gizli haberleşmelerini sağlamak yanında,MizanveMeşveretbaşta olmak üzere birtakım önemli gazete ve dergilerde, takma isimlerle veya imzasız olarak siyasi yazılar kaleme alır. Hakkında Saray'a jurnal verilince Fizan'a sürülmesi kararı verilir ve yazar, önce Tunus'a, ardından Paris'e kaçarak İttihatçılar ile buluşur. 1897'de İttihatçıların bölünmesinin ardından, uzlaşmacı olmayan grubun içerisinde yer alır, yeni örgütün merkezi olan Cenevre'ye geçer ve merkez komitesinde görevlendirilir. 1897 yılında yayımlananOsmanlı Mecmuası'nın yönetici kadrosunda bulunduğu gibi Cemiyet'in yayın organlarındanKanûn-ı Esasi, Sada-yı Milletgibi dergilerde müstear isimlerle yazılarını neşretmeye devam eder. 1898 yılında,Osmanlı Mecmuası'nda yazı yayımlamayacağı sözüyle, Saray ile anlaşır ve Mecmua'nın neşri durdurulur. Paris'e giderek, gizlice siyasi yazılarına devam ettiği belirlenen Abdullah Cevdet'in tahsisatı kesilir. Yazar, Saray ile 1899'da yeni bir anlaşma imzalar ve Viyana elçiliğinde doktor olarak görevlendirilir. İhtisas alanı içerisinde kalan yazılar kaleme alsa da yine el altından siyasi yazılar yazmaya 1903'e kadar devam eder. Sultan II. Abdülhamid'in af politikasını kabul ederek resmi görevler alması, görevde aldığı maaşlarını Cemiyet'e göndermemesi, karakterindeki uzlaşmazlık nedeniyle Cemiyet tarafından dışlanır. Viyana Sefiri Mahmut Nedim Paşa'nın siyasi faaliyetlere devam ettiği hususundaki jurnali sonucu Abdullah Cevdet, 1903'te Avusturya'dan sınır dışı edilir. Çeşitli Avrupa ülkelerinde dolaştıktan sonra Cenevre'deOsmanlı Mecmuası'nı neşretmeye başlar. 1904'te Osmanlı İttihat ve İnkılap Cemiyeti'ni anarşist eylemlere izin verecek bir tüzükle kurar. Aynı yıl, materyalist felsefenin hakim olduğuİcthaddergisini çıkarır. Dergi, bir kısmı Türkçe bir kısmı çoğunlukla Fransızca olmak üzere farklı dillerde yayımlanır. Yazar, 1904'te Sultan II. Abdülhamid aleyhinde yayımlanan bir neşriyat sonucunda İsviçre'den sınır dışı edilir. 1905'te gıyabında yapılan yargılama sonucunda ömür boyu kalebentliğe mahkum edilir. Jön Türklerin etkili olduğu Kahire'ye gelir ve Prens Sabahattin grubunda, Şûra-yı Osmani içerisinde görev alır. Osmanlı hanedanlığını hedef alan sözleri nedeniyle eleştirilen yazar, Meşrutiyet'in ilanından sonra da Cemiyet'in baskısı nedeniyle İstanbul'a dönemez. Çevirileri bu dönemde hız kazanır. Reinhart Pieter Anne Dozy tarafından kaleme alınan ve Hz. Peygamber'i nevrozlu olarak sunanEssai sur l’histoire de l’Islamismeadlı kitabını daTarih-i İslamiyetismiyle tercüme eder. Esere kaleme aldığı önsöz, kendisi hakkında ciddi bir karşıtlık ve öfke doğmasına neden olur. Eser, 1910 yılında muzır bulunarak yasaklanır. Aynı yıl İstanbul'a dönen yazar,İctihad'ı yeniden neşretmeye başlar. Osmanlı Demokrat Fırkası'nın yönetiminde yer alarak siyasete katılan yazar, çeşitli yayın organlarında yazılar kaleme alır. Yönetiminde bulunduğu partinin Hürriyet ve İtilaf Partisi'ne katılmasıyla birlikte, tekrar siyasetten uzaklaşır. 1911 yılında döndüğü İstanbul'da dergi faaliyetleri ile ilgilenir. 1912 yılındaHalk Gazetesi'nde yazılar yazar.İctihad'ın 1913 yılında kapatılmasının ve farklı isimlerle (Cehd, İşhadvb) açılan dergiler için de aynı yıl içerisinde kapatılma kararları verilmesinin ardından İsviçre'ye gitmek isterse de bu ülke tarafından kabul edilmez. Bir süre sonra, tam garpçı cepheyi temsil edenİctihaddergisinde yürüttüğü muhalefet nedeniyle İttihatçılar tarafından ölümle tehdit edilir ve 1915 yılında dergiyi kapatmak durumunda kalır. İngiliz Muhipler Cemiyeti'nin kurucuları arasında yer alan yazar, aynı zamanda yine İngilizlerle ortak hareket eden Kürt Teali Cemiyeti'nin de önemli isimlerinden olur. 1918'deİkdam'da imzasız yazılar kaleme alsa da yine İttihatçıların engellemesiyle karşılaşır. Yazılarıyla ayrılıkçı bir etnik milliyetçilik mücadelesinin içerisinde görülür. 1919'da sıhhiye müdürü olur ancak görüşleri nedeniyle bu görevi kısa sürer. 1922 yılındaİctihad'ı yeniden yayımlamaya başlayan Abdullah Cevdet, bu devrede yeni devlet ve inkılaplar lehinde bir tavır alır. Ancak aynı yıl Bahailik konusundaki telkinleri ve Hz. Peygamber'i nevrozlu olarak yorumlaması üzerine hakkında dava açılır. Milli Mücadele devrindeki ayrılıkçı görüşleri nedeniyle devlet memurluğu görevine alınmaz. Cumhuriyet'in ilanından sonra ise bu karar, ömür boyu devlet memuriyetinden men edilmesi şeklinde değiştirilir. 29 Kasım 1932'de kalp krizi nedeniyle vefat eden Abdullah Cevdet, Merkezefendi Mezarlığı'na defnedilir."
Abdullah Rıza Ergüven,https://teis.yesevi.edu.tr/madde-detay/abdulah-riza-erguven,5,Eğitim Ve Bilim -  Yayıncılık,Şair -  Yazar -  Denemeci -  Eleştirmen -  Araştırmacı -  Felsefeci,True,"Varlık, Kardeşler Basımevi, Berfin",3,Nevşehir,38.625,34.71222,1925,2001,76,"Nevşehir ilinin Avanos ilçesinin Alaattin Mahallesi’nde yoksul bir ailenin üçüncü ve son çocuğu olarak doğdu. Gödeler sülalesinden olan babası Ali Rıza Bey’in aslı Ürgüp, Dedeler sülalesinden olan annesi Zeynep Hanım’ın aslı Nevşehir'in Sulusaray Köyü’ndendir."
Abdullah Zühtü,https://teis.yesevi.edu.tr/madde-detay/abdullah-zuhtu,15,Medya -  Yayıncılık,Gazeteci -  Yazar,False,"Asır Kütüphanesi, Mihran, İkdam, Saadet, Matbaa-i Karabet",5,İstanbul,41.01384,28.94966,1869,1925,56,"Ticaret ve Nafia Nezareti başkatiplerinden Osman Tevfik Efendi'nin oğludur. İstanbul'da doğar. Ahmet Hikmet Müftüoğlu'nun akrabasıdır. 1890'da Galatasaray Lisesi'nden mezun olur veSaadet'te yazarlığa başlar.Tercüman-ı Hakikat, Tarik, Sabah, İkdam'da çalışır. Maarif Nezareti Tetkik-i Müellefat Komisyonu üyeliği yapar. 1897 Türk-Yunan Harbi sırasında, Süleyman Rıza Tevfik'le birlikte, savaş muhabirliği yaptığı söylenirse de Süleyman Tevfik hatıralarında bu bilgiyi yalanlar. Abdullah Zühtü,Şanlı Askerromanını Türk-Yunan Harbi'nin uyandırdığı duygular üzerine kaleme alır ve büyük şöhret yakalar. II. Meşrutiyet'in ardındanYeni Gazete'yi neşretmeye başlar. İttihat Terakki'nin yönetime gelmesiyle gazetesini kapatır. 1918'deYeni Gazete'yi, devamında Ahmet İhsan ileLe Soirisimli Fransızca gazeteyi çıkarır. 1919'da, İngiliz Muhipleri Cemiyeti'nin kurucuları arasında yer alması, adının unutulmasına neden olur. Kısa süreli matbuat umum müdürlüğünün ardından Bedesten'de antikacılık yapar. 1925'te kalp sektesinden vefat eder."
Abdülaziz Halis Çıkıntaş,https://teis.yesevi.edu.tr/madde-detay/cikintas-abdulaziz-halis,1,Yayıncılık,Şair -  Yazar,False,"",0,Diyarbakır,37.91363,40.21721,1867,1935,68,"Asıl Adı Abdülaziz’dir. Şiirlerinde Halis mahlasını kullandı. Diyarbakır’da doğdu. Abdülhamid Niyazi Çıkıntaş’ın küçük kardeşidir. Diyarbakır ve İstanbul’daki kesintili öğrenim yıllarının ardından 1890-1909 yılları arasında muhtelif kaza ve sancaklarda naiplik görevlerinde bulundu. 31 Mart Vak’ası’nı müteakip, Erganimadeni sancağı naibiyken İttihatçılar tarafından irtica suçlamasıyla önce Rodos’a, ardından Sinop’a sürüldü. 1914’te Birinci Dünya Savaşı nedeniyle çıkarılan genel aftan yararlanarak önce İstanbul’a, sonra Diyarbakır’a gitti. İttihatçıların iktidardan düşmesiyle, abisinin siyasi nüfuzundan yararlanarak sırasıyla Savur, Çermik ve Derik kaymakam vekilliği görevlerine tayin edildi. Malatya Asliye Mahkemesi üyeliği görevinden 1927’de emekli oldu. 6 Şubat 1935'te vefat eden şair, Mardinkapı mezarlığına defnedildi."
Abdülgani Seniy Yurtman,https://teis.yesevi.edu.tr/madde-detay/yurtman-abdulgani-seniy,6,Kamu Ve Hukuk -  Yayıncılık,Şair -  Yazar -  Kamu Personeli,False,"Asır Kütüphanesi, Vilayet, İnsel",3,İstanbul,41.01384,28.94966,1871,1951,80,"İstanbul’da doğdu. Babası İstanbul Davavekili Karaosmanzade Osman Nuri Bey, annesi Vecihe Hanım’dır. Karaosmanoğulları’ndan Kadı Bekir Sıtki Efendi’nin torunudur. İlköğrenimini İstanbul Valide Sultan Mektebinde, orta öğrenimini Akka Rüştiyesinde tamamladı. Rüştiyeyi bitirdikten sonra devlet hizmetine girdi. 1885’te Akka Sancağı Muhasebe Kalemi Katip Refikliği, 1887’de Hayfa Kazası Malmüdürü Muavinliği, 1888’de Hayfa Kazası Vergi Memurluğu, 1889’da Akka Sancağı Muhasebe Kalemi Başkatipliği görevine getirildi. 1890 yılında İstanbul’a döndü, Mülkiye Mektebinin İdadi kısmında lise öğrenimini tamamladı. Temmuz 1898’de Mülkiye Mektebinin yüksek kısmından mezun oldu. Ağustos 1898’de ikinci defa devlet hizmetine girdi. Maarif Nezareti Mektubi Kalemi 3. Sınıf Katipliği (1898), Selanik Vilayeti Maiyet Memurluğu (1898), Gevgili (1902) ve Karaferye Kaymakamlığı (1904) görevlerinde bulundu. 1908’de Selanik Hukuk Mektebinde müdür vekilliği yaptı, “hukuk-ı düvel”, “hukuk-ı idare” derslerini verdi. Yemen (1909), Adana (1910), Beyrut (1910) Vilayetleri Mektupçuluğu; Beyrut’ta Vali Vekilliği ve Belediye Başkan Vekilliği yaptı. 1916’da Lazkiye Sancağı Mutasarrıflığına, 1918’de Hariciye Nezareti Şifre Kalemi Müdürlüğüne, 1921’de Hariciye Nezareti Müsteşar Vekilliğine atandı. Cumhuriyet’in ilanından sonra 1925’te Beyrut Başkonsolosluğu Siyasi Müşavirliğine tayin edildi, 1927-1931 yılları arasında Türkiye’nin Suudi Arabistan ve Yemen elçisi olarak görev yaptı. 1931’de Hariciye Vekaleti Müsteşar Muavinliğine, 1934’de Hariciye Vekaleti Şifre Müdürlüğüne nakledildi. 1935’te emekliye ayrıldı 1940-1947 yılları arasında Ankara Polis Enstitüsü’nde Arapça hocalığı görevinde bulundu. 1951 yılının Nisan ayında vefat etti."
Abdülkadir Meriçboyu,https://teis.yesevi.edu.tr/madde-detay/mericboyu-abdulkadir,5,Yayıncılık,Şair,True,"Türkiye İş Bankası, İstanbul Matbaası, Akşam Kitap Kulübü, Sander, Gün",5,İstanbul,41.01384,28.94966,1917,1985,68,"İbrahim Abdulkadir Meriçboyu 16 Temmuz 1917 tarihinde İstanbul'un Eyüp ilçesinde doğdu. İlk ve ortaokulu Eyüp'te, liseyi 1936 yılında Kuleli Askeri Lisesi'nde tamamlayan şair daha sonra Ankara Harp Okulu'na başladı. 1938 yılında Nazım Hikmet şiirleri okuduğu için tutuklandı. Hapis sonrasında okulla ilişiği kesildi. 1941 yılında İstanbul Üniversitesi Hukuk Fakültesi'ne giren şairinTebliğadlı kitabı 1943 yılında sıkıyönetim tarafından toplatıldı ve kendisi de Anadolu'ya sürgüne gönderildi. Bu nedenle fakülteye devam edemedi. (Baygara 2014: 10) 1943-1947 yılları arasında Muğla, Balıkesir, Konya, Adana, Kırşehir'de hayatını sürgün olarak geçiren şair, 1947'de İstanbul'a döndükten sonra bir fabrikada çalıştı. Aynı zamanda yayınevlerinde çevirmenlik ve redaktörlük de yaptı. Şiirleri,Akın, Ses, Yeni Edebiyat, Yürüyüş, Pınar, Başak, Gün, Yığın, Yağmur ve Toprak, Fikir ve Sanat, Yeryüzü, Beraber, Yeditepe, Şairler Yaprağı, Pazar Postası, Dönem, Gelecek, Militan, Sanat Emeği, Edebiyat 81, Varlıkgibi süreli yayınlarda yayımlandı. 1965 sonrasında yazı çalışmalarına ağırlık veren şair 1 Mart 1985'te İstanbul'da vefat etti."
